folders,调用方式,Basic_Knowledge_corr,B_time,B_score,Algorithm,A_time,A_score,Calculate,C_time,C_score,CR_corr,CR_T,CR_score,CG_corr,CG_l_scores,CG_score,Code_score,expert,Guess_ELO,Guess_score,single_choices_total,total
4.0Ultra,api,92.63%,15.34,72.5,80.00%,126.76,58.66,65.63%,84.94,49.19,72.00%,4.45,64.62,72,84.76,78.38,71.5,64.29,915.46,38.61,180.35,354.75
claude-3-5-haiku-20241022,api,76.84%,7.65,64.64,68.00%,45.27,52.06,31.25%,29.66,27.38,92.00%,6.44,76.22,,,,38.11,,1012.73,65.25,144.08,247.44
claude-3-5-sonnet-20241022,api,97.89%,10.59,77.74,84.00%,62.9,62.58,53.13%,41.23,41.86,88.00%,11.69,70.37,,,,35.19,,1099.28,88.95,182.18,306.32
claude-3-7-sonnet-20250219,api,97.89%,14.04,76.53,96.00%,89.62,70.37,71.88%,58.12,54.25,,,,,,,0,,1106.89,91.04,201.15,292.19
claude-sonnet-4-20250514,api,98.95%,10.74,78.42,92.00%,65.07,68.12,81.25%,42.85,61.46,,,,,,,0,,1032.63,70.7,208,278.7
deepseek-chat,api,97.89%,10.87,77.62,88.00%,203.21,63.7,87.50%,88.47,64.44,92.00%,12.43,72.91,56,90.02,73.01,72.96,92.86,1037.79,72.11,205.76,443.69
deepseek-r1-distill-qwen-32b-250120,api,96.84%,12.9,76.14,80.00%,135.79,58.57,71.88%,73.06,53.82,76.00%,19.56,59.98,72,90.56,81.28,70.63,,1075.03,82.31,188.53,341.47
deepseek-reasoner,api,97.89%,64.73,72.26,92.00%,93.09,67.51,90.63%,243.51,65.36,88.00%,60.39,65.46,96,91.89,93.94,79.7,78.57,1075.43,82.42,205.13,445.82
doubao-1.5-lite-32k-250115,api,86.32%,4.03,75.36,84.00%,28.22,64.45,62.50%,17.76,50.87,60.00%,6.8,53.5,,,,26.75,,1046.35,74.46,190.68,291.89
doubao-1.5-pro-256k-250115,api,94.74%,4.23,80.9,92.00%,34.89,69.48,71.88%,21.44,56.79,68.00%,9.87,57.15,76,80.72,78.36,67.76,64.29,1065.09,79.59,207.17,418.8
doubao-1.5-pro-32k-250115,api,95.79%,9.19,76.95,92.00%,60.27,68.26,75.00%,37.5,57.4,80.00%,11.67,64.78,60,86.8,73.4,69.09,78.57,1074.2,82.09,202.61,432.36
doubao-1.5-thinking-pro-250415,api,97.89%,26.61,74.34,88.00%,179.44,63.84,90.63%,125.52,66.12,88.00%,21.76,68.03,92,92.5,92.25,80.14,71.43,1082.25,84.29,204.3,440.16
doubao-1.5-thinking-vision-pro-250428,api,97.89%,10.54,77.77,84.00%,99.51,61.81,84.38%,65.93,62.76,92.00%,4.49,78.56,48,82.81,65.4,71.98,64.29,1084.63,84.94,202.34,423.55
ernie-4.5-turbo-128k,api,94.74%,9.15,76.24,80.00%,85.38,59.25,68.75%,57.4,52.08,84.00%,17.32,66.01,60,89.25,74.62,70.32,85.71,1050.71,75.65,187.57,419.25
ernie-4.5-turbo-32k,api,95.79%,14.88,74.83,76.00%,136.28,55.77,71.88%,89.95,53.48,88.00%,7,72.94,68,90.94,79.47,76.21,57.14,,0,184.08,317.43
ernie-4.5-turbo-vl-32k,api,91.58%,8.89,74.17,68.00%,59.51,51.49,50.00%,39.33,39.78,80.00%,2.87,73.7,60,88.84,74.42,74.06,71.43,1133.72,98.39,165.44,409.32
